Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
WTBQBRDE,journalArticle,2022,"Epis, Massimo",La trascendenza dell’esperienza. Rilettura del percorso,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=dd8acca8-d00f-3ef9-b460-487cc8cfc77c,,2022-06-01,2025-10-14 12:27:08,2025-10-14 21:12:13,2025-10-14 12:27:07,357-370,,2,47,,Teologia,La trascendenza dell’esperienza,,,,,,,ita,,,,160830121,EBSCOhost,,Publisher: Glossa,,                                                                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGYSXCJF,journalArticle,2013,"Seveso, Bruno","Prove di Vangelo. Sulla scia del rinnovato appello alla ""nuova evangelizzazione""",Teologia,,1120-267X,,https://research.ebsco.com/c/gpms35/search/details/lize2wjuxr?db=rlh%2Cnlebk&limiters=None&q=AU%20%28seveso%29%20AND%20SO%20%28teologia%29&searchMode=boolean,,2013,2025-07-21 15:42:36,2025-10-14 20:37:52,,283-292,,2,38,,,,,,,,,,Italian,,,,,,,,,https://drive.google.com/file/d/1NdjkHRp989mpubQRSWl4HHvApse598ml/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ZUEQLKR,journalArticle,2018,"Maffeis, Angelo",La genesi dell'enciclica <i>Humanæ vitæ</i>: il metodo di lavoro di Paolo VI,Teologia,,1120-267X,,https://research.ebsco.com/c/gpms35/search/details/kuk3out5tb?db=rlh%2Cnlebk&limiters=None&q=AU%20%28maffeis%29%20AND%20SO%20%28teologia%29&searchMode=boolean,,2018,2025-07-21 15:44:17,2025-10-14 20:20:21,,472-481,,3,43,,,,,,,,,,Italian,,,,,,,,,https://drive.google.com/file/d/1I8sO3esP6EFpS7tew6-yxy5LjLyckp6w/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WXDABYID,journalArticle,2017,"Maffeis, Angelo",A cinque secoli dall'inizio della Riforma,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=51fab1cf-7191-3934-93ea-f2de0585e157,,2017-09-01,2025-10-14 16:12:46,2025-10-14 20:15:02,2025-10-14 16:12:45,357-361,,3,42,,Teologia,,,,,,,,ita,,,,125491481,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1Xq52Nlr3EN6XaeMWyyGWt62_KC_QqI5Q/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6M6QL49P,journalArticle,2018,"Epis, Massimo",Una teologia per il nostro tempo. Note a margine del <i>proemio</i> della <i>Veritatis gaudium</i>,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=7d18a2eb-9385-3e55-8bd7-a3f6f7c541d5,,2018-10-01,2025-10-14 12:27:08,2025-10-14 19:13:17,2025-10-14 12:27:07,307-313,,3,43,,Teologia,,,,,,,,ita,,,,133218279,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1SdyGLruLN5leVOsCugbaELfiRA-9Basv/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74XW6PNJ,journalArticle,1996,"Epis, Massimo",I modelli della ratio fidei nella Teologia Fondamentale contemporanea,Teologia,,1120-267X,,https://research.ebsco.com/c/gpms35/search/details/dfxdyxegtj?db=rlh%2Cnlebk&limiters=None&q=epis%20francesco&searchMode=boolean,,1996,2025-07-21 15:49:25,2025-10-14 19:07:19,,215-260,,2,21,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC8XS22Z,journalArticle,2024,"Mambretti, Renato",Ripensare la crociata,Teologia,,1120-267X,,,,2024,2025-07-21 15:42:37,2025-10-14 19:04:48,,206-208,,1,49,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDYHD4WY,journalArticle,2018,"Oiry, Béatrice",Le poetiche del tempo. Generi letterari e temporalità nella storiografia biblica. L'esempio di 1-2 Samuele,Teologia,,1120-267X,,,,2018,2025-07-21 15:51:27,2025-10-14 19:04:29,,381-410,,3,43,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5T94KAF,journalArticle,2017,"Epis, Massimo",Francesco a Milano Evangelizzare con lo stile dell'Annunciazione,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=46044d33-52f5-3f7b-9235-603ebc5762c3,,2017-06-01,2025-07-21 15:42:38,2025-10-14 19:03:55,2025-10-14 12:27:08,165-168,,2,42,,Teologia,,,,,,,,ita,,,,123748396,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1_W1a_To_imy2IZKPmHqg8t_H-ya25iU-/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8EWX6PIB,journalArticle,2017,"Maffeis, Angelo",La prima storiografia della Riforma. La costruzione dell'immagine di Martin Lutero tra il 1546 e il 1617,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=cf7ab6d2-1c4c-3f65-a038-185b6f858490,"The time between the death of Martin Luther (1546) and the first centenary of the Reformation (1617) is marked by intense doctrinal controversies among the followers of the Reformer, but also by the continuing establishment of the Lutheran churches under the doctrinal and the institutional aspect. In this framework a canonical picture of Martin Luther's character and work is set up, as well as an interpretation of the meaning of the Reformation within the general history of the Church. The article explores how these themes are treated in some writings of Philip Melanchthon and Matthias Flacius Illyricus, in the Magdeburg Centuries and in the speeches held in Wittenberg and Strasbourg on the occasion of the first Reformation Jubilee in 1617.",2017-09-01,2025-10-14 16:12:46,2025-10-14 16:18:53,2025-10-14 16:12:46,453-494,,3,42,,Teologia,,,,,,,,ita,,,,125491485,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/10OZ5rLkOOk01r9kGGf9NnOE5mLt8jTg0/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
